timestamp,label,app_version,commit,os,library_tracks,window,process_count,working_set_mb,private_bytes_mb,samples,scan_seconds
2026-09-02T17:45:42.706Z,idle,2.0.0,,windows,2375,,7,494.9,481.3,1,
2026-09-02T17:57:03.642Z,after-full-scan,2.0.0,,windows,2375,,7,553.9,441.0,1,
2026-09-02T17:57:10.080Z,after-full-scan-recheck,2.0.0,,windows,2375,,7,553.7,436.5,1,
2026-09-02T17:57:57.938Z,playback-eq-analyzer,2.0.0,,windows,2375,,7,606.8,431.6,1,
2026-09-02T17:58:04.496Z,playback-eq-analyzer-recheck,2.0.0,,windows,2375,,7,603.6,427.4,1,
2026-09-02T18:18:37.381Z,idle,2.0.0,,linux,99,,3,500.7,289.5,1,
2026-09-02T18:18:58.396Z,idle,2.0.0,,linux,99,,3,500.5,289.3,1,
2026-09-02T18:21:32.129Z,after-full-scan,2.0.0,,linux,99,,6,507.3,281.5,1,
2026-09-02T18:21:43.569Z,after-full-scan,2.0.0,,linux,99,,3,486.5,275.8,1,
2026-09-02T18:22:08.161Z,playback-eq-analyzer,2.0.0,,linux,99,,6,536.3,310.2,1,
2026-09-02T18:22:19.634Z,playback-eq-analyzer,2.0.0,,linux,99,,6,640.2,405.8,1,
2026-09-02T18:22:35.121Z,playback-eq-analyzer,2.0.0,,linux,99,,6,564.9,338.7,1,
2026-09-02T18:22:51.102Z,playback-eq-analyzer,2.0.0,,linux,99,,3,543.7,332.7,1,
2026-09-02T18:22:58.590Z,playback-eq-analyzer-recheck,2.0.0,,linux,99,,3,543.7,332.6,1,
2026-09-25T03:00:29.847Z,idle,2.5.0,1d562877,windows,2480,1400x900,7,539.9,457.8,5,
2026-09-25T03:01:20.757Z,after-full-scan,2.5.0,1d562877,windows,2480,1400x900,7,536.3,466.6,5,3.2
2026-09-25T03:02:18.441Z,playback-eq-analyzer,2.5.0,1d562877,windows,2480,1400x900,7,589.4,446.7,5,
2026-09-25T03:06:24.942Z,idle,2.5.0,1d562877,windows,2480,1400x900,7,534.4,460.2,5,
2026-09-25T03:07:15.344Z,after-full-scan,2.5.0,1d562877,windows,2480,1400x900,7,548.0,479.7,5,3.0
2026-09-25T03:08:13.126Z,playback-eq-analyzer,2.5.0,1d562877,windows,2480,1400x900,7,577.6,443.7,5,
